Age,Gender,Country,self_employed,family_history,treatment,remote_work,anonymity,leave,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,support_available,disc_MH_atwork
35,male,Americas,No,No,No,Yes,Don't know,Somewhat difficult,Yes,No,Maybe,Don't know,No,0.75,0.5
27,male,Americas,No,Yes,Yes,No,Yes,Very difficult,No,No,No,Yes,No,0.25,0.3333333333333333
18,male,Europe,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,No,0.125,0.5
30,male,Americas,No,No,Yes,No,Don't know,Don't know,No,No,Maybe,Don't know,No,0.125,0.0
38,female,Americas,No,Yes,Yes,No,Yes,Somewhat easy,No,No,No,Yes,No,0.75,0.5
28,male,Europe,No,No,No,No,Don't know,Don't know,Maybe,Maybe,Yes,Don't know,No,0.25,0.5
34,male,Americas,No,No,No,No,Don't know,Don't know,No,Maybe,Yes,Don't know,No,0.0,0.6666666666666666
26,male,Americas,Yes,No,No,No,Don't know,Don't know,No,No,No,Yes,No,0.5,0.6666666666666666
30,male,Americas,No,Yes,Yes,No,Don't know,Don't know,No,No,No,Don't know,No,0.375,0.6666666666666666
22,male,Americas,No,Yes,Yes,No,Yes,Very difficult,No,No,Maybe,Don't know,No,0.25,0.16666666666666666
33,male,Americas,No,No,No,Yes,Don't know,Don't know,No,Maybe,Maybe,Don't know,No,0.5,0.5
31,male,Americas,No,No,No,Yes,Don't know,Don't know,Maybe,Maybe,Maybe,Don't know,No,0.375,0.5
32,male,Americas,No,No,No,Yes,Don't know,Don't know,No,No,No,Don't know,No,0.25,0.6666666666666666
28,male,Europe,No,No,No,No,Don't know,Don't know,No,No,Maybe,Don't know,No,0.0,0.0
27,male,Americas,No,Yes,Yes,No,Yes,Don't know,No,No,No,Don't know,No,0.5,0.16666666666666666
32,male,Americas,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,No,Yes,No,0.125,0.6666666666666666
24,male,Americas,No,Yes,Yes,Yes,Don't know,Don't know,Maybe,Yes,Yes,No,No,0.125,0.5
26,male,Americas,No,No,No,No,Yes,Somewhat easy,No,Maybe,Yes,Don't know,No,0.0,0.5
33,male,Americas,No,Yes,Yes,Yes,No,Somewhat difficult,No,No,Maybe,Don't know,No,0.125,0.3333333333333333
44,male,Americas,No,Yes,Yes,No,Don't know,Don't know,Maybe,No,Maybe,Don't know,Yes,0.375,0.5
26,female,Europe,No,No,Yes,Yes,Yes,Very easy,No,Maybe,Yes,Yes,No,0.75,0.6666666666666666
27,male,Europe,No,No,No,No,Don't know,Somewhat easy,No,Maybe,Maybe,Yes,No,0.625,0.6666666666666666
26,male,Europe,No,No,No,No,Don't know,Very easy,No,No,No,No,Yes,0.0,0.3333333333333333
35,male,Americas,No,No,No,No,Don't know,Somewhat easy,No,No,Maybe,Don't know,No,0.125,0.5
40,male,Americas,No,Yes,No,Yes,Don't know,Don't know,Maybe,No,No,No,Yes,1.0,0.5
23,female,Australia and Oceania,No,Yes,Yes,Yes,Don't know,Very easy,No,No,Maybe,Yes,No,0.125,0.5
36,male,Americas,No,No,No,Yes,Don't know,Don't know,No,Maybe,Yes,Yes,No,0.625,0.5
31,female,Americas,No,No,No,Yes,Don't know,Don't know,No,No,Maybe,Don't know,No,0.375,0.3333333333333333
34,male,Americas,Yes,No,No,Yes,Don't know,Don't know,No,No,No,Don't know,No,0.0,0.3333333333333333
28,male,Europe,No,No,No,No,Don't know,Don't know,No,No,No,Don't know,No,0.0,0.5
34,male,Americas,No,No,No,No,Don't know,Somewhat easy,No,No,No,Don't know,No,0.5,0.5
23,other,Americas,No,No,No,No,Yes,Somewhat difficult,No,No,No,No,No,0.5,0.8333333333333333
38,male,Europe,No,No,No,No,Yes,Somewhat easy,No,Maybe,Yes,Yes,No,0.125,0.5
33,male,Americas,No,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,No,0.625,0.5
19,male,Europe,No,No,No,No,No,Somewhat difficult,No,No,Maybe,No,No,0.25,0.3333333333333333
